example,stiffness,friction,target_force,penetration,force,normal_kp,normal_kd,y_gain,target_scale
0,566.4623,0.6077,14.6911,0.00508,3.0060,175.6764,32.8558,5.0475,0.7414
1,806.4448,0.4017,14.3761,0.00999,8.1844,199.5885,36.0000,6.7768,0.5208
2,742.4109,0.7946,10.4586,0.01553,12.0577,179.8796,36.0000,4.4413,0.5657
3,273.5468,0.2685,20.1959,0.01675,4.4238,140.7306,21.3543,7.5999,1.5354
4,901.9652,0.0611,19.9389,0.01760,15.1754,205.0000,36.0000,7.9336,0.4656
5,509.5270,0.7294,12.2156,0.01730,9.2363,147.9835,32.1213,5.3011,0.8243
6,381.5188,0.6680,21.1596,0.05026,19.2555,121.2604,27.9262,5.2811,1.1009
7,699.5977,0.7634,11.7538,0.00479,3.6226,187.8282,35.0949,4.7348,0.6003
8,250.0192,0.6825,21.7623,0.04572,11.0148,125.4394,23.9793,6.0527,1.6799
9,527.5929,0.5898,16.3005,0.02635,14.4558,148.1972,31.5464,6.5810,0.7961
10,356.1317,0.6642,11.2635,0.00132,0.3251,142.4842,23.9978,5.8765,1.1793
11,728.3327,0.2518,19.9176,0.01553,10.9855,193.9005,34.8641,7.6097,0.5767
12,892.1721,0.5982,12.2334,0.00695,6.3211,205.0000,36.0000,6.4096,0.4708
13,623.7661,0.3391,13.7214,0.00333,2.2125,183.8846,29.4259,7.5358,0.6733
14,369.7334,0.3934,13.3924,0.01869,6.8141,134.9321,25.2394,6.5847,1.1360
15,192.1714,0.7691,21.1313,0.06358,11.8171,96.1078,23.4014,4.4931,2.0000
16,312.4979,0.6442,20.9460,0.04902,15.1562,120.6683,25.6328,5.4632,1.3440
17,204.2012,0.7320,13.9633,0.02926,6.2258,112.6525,22.9819,5.8231,2.0000
18,374.0088,0.7282,9.4372,0.00647,2.2349,136.9464,28.0459,5.6908,1.1230
19,709.6993,0.5027,16.7007,0.00235,1.8283,204.1743,33.3125,6.7084,0.5918
20,302.5273,0.4359,19.8063,0.05756,17.5620,103.0048,23.8898,5.4575,1.3883
21,481.8720,0.3626,20.1362,0.00228,1.5801,178.1043,25.3570,6.2499,0.8716
22,595.6165,0.1979,17.9854,0.00049,0.0340,193.8356,27.4515,7.9480,0.7052
23,386.5299,0.4709,8.3261,0.00704,2.9265,134.8585,26.3634,5.6221,1.0866
24,900.7267,0.2886,18.3284,0.02148,19.1907,202.0060,36.0000,6.4647,0.4663
25,632.4822,0.5928,13.1256,0.03167,20.3119,175.6822,34.7172,5.8265,0.6641
26,458.9850,0.7919,11.5303,0.00396,1.3824,156.1731,28.1044,5.8076,0.9151
27,446.6096,0.7613,10.1167,0.01324,5.7116,141.6827,30.4888,4.4025,0.9404
28,876.9680,0.3192,9.6469,0.00210,1.5030,205.0000,36.0000,7.3996,0.4789
29,437.3418,0.1671,9.5799,0.00769,3.4443,144.0996,25.4568,8.4467,0.9603
30,577.0154,0.4912,12.4727,0.01891,10.6424,155.5790,32.2397,5.5371,0.7279
31,450.5184,0.1387,6.6290,0.00768,3.4039,139.6729,25.6253,7.0174,0.9323
32,253.2380,0.2491,12.7249,0.01611,4.1527,121.8447,20.5899,7.6568,1.6585
33,491.4641,0.6363,9.7262,0.00247,1.1960,157.4861,27.8340,4.9277,0.8546
34,911.6777,0.4265,13.0296,0.01549,14.0312,203.9552,36.0000,6.6792,0.4607
35,496.9153,0.7232,6.7921,0.00276,1.4298,151.3342,28.6928,5.5199,0.8452
36,531.0119,0.6767,17.6626,0.00561,2.7006,177.5681,32.3438,5.6590,0.7909
37,860.3017,0.2589,18.2363,0.01550,13.3827,204.7231,36.0000,7.2948,0.4882
38,427.4012,0.1631,17.0180,0.02101,8.8948,146.9813,25.1268,6.9150,0.9827
39,192.8051,0.7124,6.9548,0.01560,3.3626,101.8237,22.4835,5.1709,2.0000
40,534.5694,0.2265,10.0605,0.00800,4.0846,158.3322,28.8487,7.8336,0.7857
41,693.2345,0.2358,21.3285,0.00400,2.4691,205.0000,30.6832,7.4733,0.6059
42,910.9841,0.6561,15.0073,0.00868,7.7382,205.0000,36.0000,5.6235,0.4610
43,701.1545,0.2257,15.4776,0.00993,6.5379,189.8407,33.8400,7.9555,0.5990
44,262.3932,0.8061,16.1830,0.00750,2.1253,135.2860,25.3204,5.0571,1.6007
